Price,Close,High,Low,Open,Volume
Ticker,EURPLN=X,EURPLN=X,EURPLN=X,EURPLN=X,EURPLN=X
Date,,,,,
2018-01-01,4.181399822235107,4.181000232696533,4.169899940490723,4.181000232696533,0
2018-01-02,4.172929763793945,4.178199768066406,4.156000137329102,4.173850059509277,0
2018-01-03,4.1620001792907715,4.1707000732421875,4.150000095367432,4.161499977111816,0
2018-01-04,4.146729946136475,4.156599998474121,4.14300012588501,4.146920204162598,0
2018-01-05,4.14709997177124,4.156899929046631,4.139999866485596,4.146790027618408,0
2018-01-08,4.150859832763672,4.172460079193115,4.1479997634887695,4.150559902191162,0
2018-01-09,4.1717000007629395,4.184790134429932,4.164999961853027,4.171500205993652,0
2018-01-10,4.189809799194336,4.192299842834473,4.171000003814697,4.1898698806762695,0
2018-01-11,4.1734299659729,4.179619789123535,4.164000034332275,4.172820091247559,0
2018-01-12,4.166600227355957,4.171299934387207,4.158999919891357,4.165929794311523,0
2018-01-15,4.168690204620361,4.176000118255615,4.159999847412109,4.168280124664307,0
2018-01-16,4.170000076293945,4.185450077056885,4.1620001792907715,4.170470237731934,0
2018-01-17,4.170030117034912,4.1793999671936035,4.164000034332275,4.169760227203369,0
2018-01-18,4.16457986831665,4.169600009918213,4.15500020980835,4.164700031280518,0
2018-01-19,4.160620212554932,4.17671012878418,4.156000137329102,4.159840106964111,0
2018-01-22,4.171899795532227,4.172900199890137,4.1620001792907715,4.170810222625732,0
2018-01-23,4.1666998863220215,4.174079895019531,4.1620001792907715,4.166900157928467,0
2018-01-24,4.164760112762451,4.1697001457214355,4.140999794006348,4.166299819946289,0
2018-01-25,4.152400016784668,4.155600070953369,4.131999969482422,4.151830196380615,0
2018-01-26,4.142399787902832,4.148099899291992,4.126999855041504,4.14201021194458,0
2018-01-29,4.130459785461426,4.148799896240234,4.126999855041504,4.131360054016113,0
2018-01-30,4.1441497802734375,4.159689903259277,4.13700008392334,4.144539833068848,0
2018-01-31,4.157199859619141,4.158360004425049,4.142000198364258,4.155570030212402,0
2018-02-01,4.150219917297363,4.159599781036377,4.14300012588501,4.150000095367432,0
2018-02-02,4.152090072631836,4.166450023651123,4.1479997634887695,4.151780128479004,0
2018-02-05,4.166510105133057,4.16949987411499,4.138000011444092,4.1674299240112305,0
2018-02-06,4.158999919891357,4.170949935913086,4.144999980926514,4.158170223236084,0
2018-02-07,4.155399799346924,4.164519786834717,4.1479997634887695,4.153520107269287,0
2018-02-08,4.169950008392334,4.188139915466309,4.160999774932861,4.168759822845459,0
2018-02-09,4.190229892730713,4.20235013961792,4.177000045776367,4.191400051116943,0
2018-02-12,4.181779861450195,4.190999984741211,4.163000106811523,4.181859970092773,0
2018-02-13,4.167900085449219,4.177700042724609,4.1620001792907715,4.165999889373779,0
2018-02-14,4.166200160980225,4.180520057678223,4.160999774932861,4.164999961853027,0
2018-02-15,4.152649879455566,4.160200119018555,4.14300012588501,4.152460098266602,0
2018-02-16,4.154600143432617,4.163750171661377,4.144999980926514,4.153590202331543,0
2018-02-19,4.157599925994873,4.157599925994873,4.129000186920166,4.157599925994873,0
2018-02-20,4.1338300704956055,4.149400234222412,4.130000114440918,4.1338701248168945,0
2018-02-21,4.148499965667725,4.172599792480469,4.14300012588501,4.147970199584961,0
2018-02-22,4.172500133514404,4.1874799728393555,4.170229911804199,4.1720099449157715,0
2018-02-23,4.181000232696533,4.1828999519348145,4.164000034332275,4.180240154266357,0
2018-02-26,4.169760227203369,4.175899982452393,4.160999774932861,4.171679973602295,0
2018-02-27,4.16795015335083,4.176449775695801,4.160999774932861,4.168540000915527,0
2018-02-28,4.172339916229248,4.182199954986572,4.166999816894531,4.171770095825195,0
2018-03-01,4.176300048828125,4.188700199127197,4.172999858856201,4.173230171203613,0
